provider,gpu,forecast_signal,expected_outcome,observed_regime,confidence,backtest_result
runpod,RTX A4500,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,RTX A5000,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,RTX A6000,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,RTX PRO 4000,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,RTX PRO 4500,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,RTX PRO 5000,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,RTX PRO 6000,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,RTX PRO 6000 MaxQ,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,RTX PRO 6000 WK,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,Tesla V100,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,V100 SXM2,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,unknown,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,A100 PCIe,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,A100 SXM,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,A100 SXM 40GB,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,A40,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,B200,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,B300,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,B300 MIG 34GB,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,H100 NVL,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,H100 PCIe,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,H100 SXM,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,H200 NVL,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,H200 SXM,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,L4,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,L40,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,L40S,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,MI300X,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,NVIDIA GeForce GTX 1050,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,NVIDIA GeForce GTX 1050 Ti,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,PRO 6000 MIG 24GB,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,PRO 6000 MIG 48GB,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,RTX 2000 Ada,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,RTX 3070,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,RTX 3080,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,RTX 3080 Ti,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,RTX 3090,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,RTX 3090 Ti,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,RTX 4000 Ada,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,RTX 4000 Ada SFF,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,RTX 4070 Ti,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,RTX 4080,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,RTX 4080 SUPER,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,RTX 4090,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,RTX 5000 Ada,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,RTX 5080,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,RTX 5090,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,RTX 6000 Ada,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,RTX A2000,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,RTX A4000,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,RTX A4500,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,RTX A5000,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,RTX A6000,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,RTX PRO 4000,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,RTX PRO 4500,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,RTX PRO 5000,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,RTX PRO 6000,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,RTX PRO 6000 MaxQ,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,RTX PRO 6000 WK,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,Tesla V100,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,V100 SXM2,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod_real,unknown,insufficient_price_data,unknown,tight_market,45,not_evaluable
vast,A100 PCIE,stable_market,stable_market,tight_market,45,needs_future_validation
vast,A800 PCIE,stable_market,stable_market,tight_market,45,needs_future_validation
vast,B200,volatile_market,volatile_market,tight_market,50,needs_future_validation
vast,H100 NVL,volatile_market,volatile_market,capacity_crunch,50,needs_future_validation
vast,H100 SXM,volatile_market,volatile_market,tight_market,50,needs_future_validation
vast,H200,volatile_market,volatile_market,volatile_market,65,directionally_correct
vast,H200 NVL,volatile_market,volatile_market,tight_market,50,needs_future_validation
vast,RTX 3090,volatile_market,volatile_market,tight_market,50,needs_future_validation
vast,RTX 4070S Ti,volatile_market,volatile_market,tight_market,50,needs_future_validation
vast,RTX 4090,volatile_market,volatile_market,tight_market,50,needs_future_validation
vast,RTX 4090D,stable_market,stable_market,tight_market,45,needs_future_validation
vast,RTX 5060,stable_market,stable_market,tight_market,45,needs_future_validation
vast,RTX 5060 Ti,volatile_market,volatile_market,tight_market,50,needs_future_validation
vast,RTX 5070,price_pressure_possible,tight_market,tight_market,50,directionally_correct
vast,RTX 5070 Ti,volatile_market,volatile_market,tight_market,50,needs_future_validation
vast,RTX 5080,stable_market,stable_market,tight_market,45,needs_future_validation
vast,RTX 5090,volatile_market,volatile_market,volatile_market,65,directionally_correct
vast,RTX 6000Ada,volatile_market,volatile_market,capacity_crunch,50,needs_future_validation
vast,RTX PRO 4000,volatile_market,volatile_market,tight_market,50,needs_future_validation
vast,RTX PRO 5000,volatile_market,volatile_market,capacity_crunch,50,needs_future_validation
vast,RTX PRO 6000 S,volatile_market,volatile_market,volatile_market,65,directionally_correct
vast,RTX PRO 6000 WS,volatile_market,volatile_market,volatile_market,65,directionally_correct
vast,Tesla V100,volatile_market,volatile_market,tight_market,50,needs_future_validation
vast_real,A100 PCIE,stable_market,stable_market,tight_market,45,needs_future_validation
vast_real,A800 PCIE,stable_market,stable_market,tight_market,45,needs_future_validation
vast_real,B200,volatile_market,volatile_market,tight_market,50,needs_future_validation
vast_real,B300,stable_market,stable_market,tight_market,45,needs_future_validation
vast_real,H100 NVL,volatile_market,volatile_market,capacity_crunch,45,needs_future_validation
vast_real,H100 SXM,volatile_market,volatile_market,tight_market,50,needs_future_validation
vast_real,H200,volatile_market,volatile_market,tight_market,50,needs_future_validation
vast_real,H200 NVL,volatile_market,volatile_market,capacity_crunch,50,needs_future_validation
vast_real,RTX 3090,volatile_market,volatile_market,tight_market,50,needs_future_validation
vast_real,RTX 4070,stable_market,stable_market,tight_market,45,needs_future_validation
vast_real,RTX 4070S Ti,volatile_market,volatile_market,tight_market,45,needs_future_validation
vast_real,RTX 4090,volatile_market,volatile_market,tight_market,50,needs_future_validation
vast_real,RTX 4090D,stable_market,stable_market,tight_market,45,needs_future_validation
vast_real,RTX 5060,stable_market,stable_market,tight_market,45,needs_future_validation
vast_real,RTX 5060 Ti,volatile_market,volatile_market,tight_market,50,needs_future_validation
vast_real,RTX 5070,volatile_market,volatile_market,tight_market,45,needs_future_validation
vast_real,RTX 5070 Ti,volatile_market,volatile_market,tight_market,50,needs_future_validation
vast_real,RTX 5080,price_pressure_possible,tight_market,tight_market,45,directionally_correct
vast_real,RTX 5090,volatile_market,volatile_market,volatile_market,65,directionally_correct
vast_real,RTX 6000Ada,volatile_market,volatile_market,capacity_crunch,50,needs_future_validation
vast_real,RTX PRO 4000,volatile_market,volatile_market,tight_market,45,needs_future_validation
vast_real,RTX PRO 5000,volatile_market,volatile_market,capacity_crunch,50,needs_future_validation
vast_real,RTX PRO 6000 S,volatile_market,volatile_market,volatile_market,65,directionally_correct
vast_real,RTX PRO 6000 WS,volatile_market,volatile_market,tight_market,50,needs_future_validation
vast_real,Tesla V100,volatile_market,volatile_market,tight_market,50,needs_future_validation
